smiles,docking_score,reference_id
COCc1nnc([nH]1)[C@H]2CN(C[C@@H]2C3CC3)C(=O)c4c[nH]c(n4)C,-5.845,TRAIN_0123
NC[C@H]1CCN(C1)C(=O)c2cc(F)c(F)c(F)c2,-5.839,TRAIN_0124
Cc1csc(=O)n1CCC(=O)N2CCN(CC2)C(=O)c3ccsc3,-5.827,TRAIN_0125
c1cc(C)cc(n12)nc(c2)C(=O)O[C@@H](C(=O)N)c3ccc(F)cc3,-5.825,TRAIN_0126
c1ccccc1[C@H](C(=O)O)NC(=O)c(c2C)nnn2-c(cc3)cc(c34)OCCO4,-5.818,TRAIN_0127
FC(F)(F)c1ccc(cc1)[C@H]2CCCCN2c(cc3)nn(c34)nnn4,-5.816,TRAIN_0128
C1CCCC1S(=O)(=O)CCC(=O)Nc(cc2)cc(c23)OCCCO3,-5.813,TRAIN_0129
Fc1ccccc1CC(=O)N2CCN(CC2)c3ncccc3F,-5.808,TRAIN_0130
NC(=O)c1noc(n1)[C@H]2CCCN2CCCc3cccc(F)c3,-5.807,TRAIN_0131
O1COc(c12)cc(cc2)CN(C)C(=O)CCc(n3)[nH]c(=O)c(c34)cccc4,-5.795,TRAIN_0132
Cc1cc(C)c(c(C)c1)NC(=O)CNc2ccccc2-n3cccn3,-5.783,TRAIN_0133
Cc1[nH]nc(c1C)C(=O)N(CC2)Cc(n23)cc4c3ccc(Cl)c4,-5.783,TRAIN_0134
O=C(O)c1ccc(cc1)CC(=O)N2CCO[C@@H](C2)c3ccccc3,-5.783,TRAIN_0135
[nH]1ncc(c12)N(CCC2)C(=O)CN3CCCC3=O,-5.781,TRAIN_0136
CC1(C)C(=O)NCCN1C(=O)[C@@H]2C[C@H]2c3cc(F)c(F)c(F)c3,-5.766,TRAIN_0137
c1cccc(c12)c(ncc2)C(=O)N3CCC(CC3)C4CCOCC4,-5.758,TRAIN_0138
Cc1ccc(cc1)-c(cc2C(=O)O)nc(c23)n(nc3)C(C)C,-5.758,TRAIN_0139
CC[C@@H]1CCCCN1C(=O)CN2CCN(CC2)Cc(n3)[nH]c(c34)cccc4,-5.754,TRAIN_0140
COc1ccc(cc1)CNC(=O)NCc2ccc(nc2)N3CCCC3,-5.752,TRAIN_0141
c1cccn1-c(s2)c(c(c23)CCCC3)C(=O)NC[C@@H]4COCCO4,-5.738,TRAIN_0142
CSc1ccccc1N(C)C(=O)c2ccc(cc2)C3(C#N)CC3,-5.729,TRAIN_0143
C1CC1COCC(=O)Nc(c(n2)-c3cccs3)n(c24)cccc4,-5.728,TRAIN_0144
COc1ncccc1-c2noc(n2)-c3cc(no3)-c4ccccn4,-5.722,TRAIN_0145
COCCn(cc1)c(c12)ccc(c2)NC(=O)N[C@@H]3CCC[C@H]3O,-5.709,TRAIN_0146
Cc1ncsc1C(=O)N[C@@](CC2)(C(=O)O)c(c23)cccc3,-5.706,TRAIN_0147
COCCn(nn1)c(c12)CCN(C2)C(=O)c3ccc(cc3)Cn4nc(C)cc4C,-5.699,TRAIN_0148
n1nn(C)c(c12)ncnc2N3CCN(CC3)Cc4ccc(F)cc4Cl,-5.69,TRAIN_0149
CCNS(=O)(=O)[C@@H]1CCN(C1)C(=O)c(ccc2)c(c23)[nH]cc3,-5.687,TRAIN_0150
FC(F)(F)S[C@H](C)C(=O)Nc1ccc(F)c(c1)C(=O)N,-5.683,TRAIN_0151
c1c(Br)ccc(n12)nc(cc2=O)CN(C)CC(=O)Nc3ccc(Cl)cc3,-5.681,TRAIN_0152
Cc1ccc(cc1)-c2ocnc2C(=O)N(C)c3ccc(cc3)C(=O)N,-5.67,TRAIN_0153
Cc1ccccc1CN2CCN(CC2)C(=O)c(cc3)cc(c34)nn[nH]4,-5.67,TRAIN_0154
COc1ccc(C)cc1[C@@H](C)NC(=O)CCC(=O)N2CCOCC2,-5.665,TRAIN_0155
CC(=O)N1CCN(CC1)C(=O)CS(=O)(=O)c2cccc(O)c2,-5.662,TRAIN_0156
CCCOc1cccc(c1)CC(=O)N(C2)CC[C@]2(O)Cn3ccnn3,-5.649,TRAIN_0157
[nH]1nccc1C(=O)NCCN(CC2)Cc(c23)cccc3,-5.642,TRAIN_0158
OC[C@@H]1C[C@H](F)CN1C(=O)COc2ccc(F)cc2F,-5.636,TRAIN_0159
C[C@@H]1CCCN(C1)c2nc(cs2)-c(cc3)cc(c34)NC(=O)CO4,-5.634,TRAIN_0160
c1nn(C)c(c12)ncnc2N3CC(C3)Nc4ccc(F)cc4,-5.632,TRAIN_0161
